Time, RES, VIRT, CPU
2022-03-05 00:09:59.603714, 3600000000, 4492424, 1613.0
2022-03-05 00:10:00.603788, 3700000000, 4460680, 1620.0
2022-03-05 00:10:01.631706, 3700000000, 4494476, 1613.0
2022-03-05 00:10:02.599818, 3600000000, 4395144, 1613.0
2022-03-05 00:10:03.607808, 3600000000, 4395144, 1620.0
2022-03-05 00:10:04.603732, 3600000000, 4395144, 1627.0
2022-03-05 00:10:05.591347, 3700000000, 4462736, 1560.0
2022-03-05 00:10:06.615876, 3700000000, 4428940, 200.0
2022-03-05 00:10:07.595882, 3700000000, 4428940, 100.0
2022-03-05 00:10:08.583410, 3600000000, 4395144, 1153.0
2022-03-05 00:10:09.604081, 3600000000, 4395144, 1013.0
2022-03-05 00:10:10.583060, 3600000000, 4395144, 956.2
2022-03-05 00:10:11.595841, 3600000000, 4395144, 800.0
2022-03-05 00:10:12.592212, 3600000000, 4460680, 960.0
2022-03-05 00:10:13.576182, 3600000000, 4526216, 1933.0
2022-03-05 00:10:14.575325, 3700000000, 4665736, 446.7
2022-03-05 00:10:15.595907, 3800000000, 4682632, 3100.0
2022-03-05 00:10:16.595911, 3800000000, 4716428, 3100.0
2022-03-05 00:10:17.595915, 3700000000, 4591752, 3100.0
2022-03-05 00:10:18.595867, 3800000000, 4650892, 3100.0
2022-03-05 00:10:19.603919, 3800000000, 4585356, 3100.0
2022-03-05 00:10:20.595873, 3800000000, 4739720, 3100.0
2022-03-05 00:10:21.595954, 3800000000, 4676236, 3100.0
2022-03-05 00:10:22.661877, 3800000000, 4676236, 2220.0
2022-03-05 00:10:23.584880, 3800000000, 4642440, 1920.0
2022-03-05 00:10:24.576009, 3800000000, 4642440, 1833.0
2022-03-05 00:10:25.643390, 3800000000, 4576904, 2040.0
2022-03-05 00:10:26.575539, 3800000000, 4610700, 1913.0
2022-03-05 00:10:27.614496, 3700000000, 4545164, 2000.0
2022-03-05 00:10:28.595348, 3700000000, 4511368, 2080.0
2022-03-05 00:10:29.587691, 3700000000, 4511368, 406.7
2022-03-05 00:10:30.594555, 3800000000, 4545164, 100.0
2022-03-05 00:10:31.575626, 3700000000, 4511368, 106.7
2022-03-05 00:10:32.575630, 3800000000, 4545164, 106.7
2022-03-05 00:10:33.575497, 3700000000, 4511368, 100.0
2022-03-05 00:10:34.595863, 3800000000, 4545164, 93.3
2022-03-05 00:10:35.595660, 3700000000, 4511368, 866.7
2022-03-05 00:10:36.595729, 3700000000, 4511368, 953.3
2022-03-05 00:10:37.595706, 3700000000, 4511368, 753.3
2022-03-05 00:10:38.599756, 3700000000, 4511368, 1080.0
2022-03-05 00:10:39.595761, 3700000000, 4511368, 960.0
2022-03-05 00:10:40.595758, 3800000000, 4593800, 686.7
2022-03-05 00:10:41.583966, 3700000000, 4659336, 853.3
2022-03-05 00:10:42.623406, 3700000000, 4724872, 960.0
2022-03-05 00:10:43.595675, 3700000000, 4659336, 726.7
2022-03-05 00:10:44.575529, 3700000000, 4659336, 880.0
2022-03-05 00:10:45.585618, 3600000000, 4691076, 160.0
2022-03-05 00:10:46.595725, 3700000000, 4625540, 1660.0
2022-03-05 00:10:47.599674, 3700000000, 4625540, 1600.0
2022-03-05 00:10:48.599661, 3600000000, 4458628, 1620.0
2022-03-05 00:10:49.595787, 3700000000, 4526212, 1520.0
2022-03-05 00:10:50.599690, 3700000000, 4591748, 1620.0
2022-03-05 00:10:51.599673, 3700000000, 4591748, 1620.0
2022-03-05 00:10:52.599691, 3700000000, 4566404, 1620.0
2022-03-05 00:10:53.603697, 3700000000, 4583300, 1620.0
2022-03-05 00:10:54.619842, 3700000000, 4551560, 1780.0
2022-03-05 00:10:55.599647, 3700000000, 4486024, 1627.0
2022-03-05 00:10:56.603733, 3700000000, 4486024, 1620.0
2022-03-05 00:10:57.595683, 3800000000, 4519820, 1620.0
2022-03-05 00:10:58.595890, 3700000000, 4486024, 653.3
2022-03-05 00:10:59.595860, 3600000000, 4426888, 206.7
2022-03-05 00:11:00.596038, 3600000000, 4426888, 100.0
2022-03-05 00:11:01.596061, 3600000000, 4426888, 100.0
2022-03-05 00:11:02.607908, 3600000000, 4393092, 653.3
2022-03-05 00:11:03.575594, 3600000000, 4393092, 966.7
2022-03-05 00:11:04.595817, 3600000000, 4393092, 1087.0
2022-03-05 00:11:05.607718, 3600000000, 4393092, 906.7
2022-03-05 00:11:06.595664, 3500000000, 4458628, 913.3
2022-03-05 00:11:07.579228, 3500000000, 4458628, 840.0
2022-03-05 00:11:08.595839, 3500000000, 4458628, 1073.0
2022-03-05 00:11:09.595836, 3500000000, 4393092, 1393.0
2022-03-05 00:11:10.595751, 3600000000, 4458628, 1420.0
2022-03-05 00:11:11.595918, 3600000000, 4458628, 1500.0
2022-03-05 00:11:12.595801, 3600000000, 4458628, 1567.0
2022-03-05 00:11:13.595733, 3600000000, 4409988, 1507.0
2022-03-05 00:11:14.599801, 3600000000, 4409988, 1593.0
2022-03-05 00:11:15.595807, 3600000000, 4409988, 1533.0
2022-03-05 00:11:16.595738, 3600000000, 4409988, 1533.0
2022-03-05 00:11:17.595706, 3700000000, 4492420, 1587.0
2022-03-05 00:11:18.599769, 3700000000, 4492420, 1553.0
2022-03-05 00:11:19.595840, 3600000000, 4393092, 1567.0
2022-03-05 00:11:20.598642, 3600000000, 4409988, 1640.0
2022-03-05 00:11:21.591680, 3600000000, 4409988, 1627.0
2022-03-05 00:11:22.575794, 3600000000, 4409988, 280.0
2022-03-05 00:11:23.595946, 3600000000, 4443784, 100.0
2022-03-05 00:11:24.586594, 3600000000, 4409988, 900.0
2022-03-05 00:11:25.611580, 3600000000, 4409988, 1033.0
2022-03-05 00:11:26.612728, 3600000000, 4409988, 1047.0
2022-03-05 00:11:27.595827, 3600000000, 4344452, 180.0
2022-03-05 00:11:28.603824, 3600000000, 4409988, 1180.0
2022-03-05 00:11:29.595772, 3600000000, 4344452, 1253.0
2022-03-05 00:11:30.595726, 3700000000, 4608644, 1347.0
2022-03-05 00:11:31.599779, 3800000000, 4773512, 1280.0
2022-03-05 00:11:32.595804, 3800000000, 4707976, 1533.0
2022-03-05 00:11:33.595774, 3800000000, 4659336, 1540.0
2022-03-05 00:11:34.595811, 3800000000, 4659336, 1493.0
2022-03-05 00:11:35.596049, 3800000000, 4741768, 1467.0
2022-03-05 00:11:36.595798, 3800000000, 4710028, 1473.0
2022-03-05 00:11:37.595780, 3800000000, 4587404, 1493.0
2022-03-05 00:11:38.603706, 3900000000, 4752272, 1507.0
2022-03-05 00:11:39.595499, 3800000000, 4652940, 1550.0
2022-03-05 00:11:40.635731, 3800000000, 4752272, 2300.0
2022-03-05 00:11:41.596947, 3800000000, 4652940, 2240.0
2022-03-05 00:11:42.586021, 3800000000, 4589460, 2200.0
2022-03-05 00:11:43.613535, 3800000000, 4521868, 2153.0
2022-03-05 00:11:44.598749, 3800000000, 4521868, 2060.0
